accession	message	sample_name	replicate	description	geo_loc_name	collection_date	sample_title	organism	environmental_medium	lat_lon	depth	elevation	broad_scale_environmental_context	local_scale_environmental_context	annual_and_seasonal_precipitation	annual_and_seasonal_temperature	geodiversity	niche	hillslope
SAMN17684454	Successfully loaded	AS3055	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684454	These attribute values are not valid. An automatically-generated correction will be applied.	AS3055	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684455	Successfully loaded	AS3056	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684455	These attribute values are not valid. An automatically-generated correction will be applied.	AS3056	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684456	Successfully loaded	AS3057	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684456	These attribute values are not valid. An automatically-generated correction will be applied.	AS3057	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684457	Successfully loaded	AS3058	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684457	These attribute values are not valid. An automatically-generated correction will be applied.	AS3058	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684458	Successfully loaded	AS3059	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684458	These attribute values are not valid. An automatically-generated correction will be applied.	AS3059	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H3 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H3
SAMN17684459	Successfully loaded	AS3035	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684459	These attribute values are not valid. An automatically-generated correction will be applied.	AS3035	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684460	Successfully loaded	AS3036	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684460	These attribute values are not valid. An automatically-generated correction will be applied.	AS3036	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684461	Successfully loaded	AS3037	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684461	These attribute values are not valid. An automatically-generated correction will be applied.	AS3037	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684462	Successfully loaded	AS3038	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684462	These attribute values are not valid. An automatically-generated correction will be applied.	AS3038	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684463	Successfully loaded	AS3039	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684463	These attribute values are not valid. An automatically-generated correction will be applied.	AS3039	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the H1 heterogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	heterogeneous	an inter-shrub space	H1
SAMN17684464	Successfully loaded	AS3025	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684464	These attribute values are not valid. An automatically-generated correction will be applied.	AS3025	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684465	Successfully loaded	AS3026	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684465	These attribute values are not valid. An automatically-generated correction will be applied.	AS3026	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684466	Successfully loaded	AS3027	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684466	These attribute values are not valid. An automatically-generated correction will be applied.	AS3027	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684467	Successfully loaded	AS3028	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684467	These attribute values are not valid. An automatically-generated correction will be applied.	AS3028	biological replicate 4	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684468	Successfully loaded	AS3029	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684468	These attribute values are not valid. An automatically-generated correction will be applied.	AS3029	biological replicate 5	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O3 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O3
SAMN17684469	Successfully loaded	AS3005	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684469	These attribute values are not valid. An automatically-generated correction will be applied.	AS3005	biological replicate 1	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684470	Successfully loaded	AS3006	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684470	These attribute values are not valid. An automatically-generated correction will be applied.	AS3006	biological replicate 2	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684471	Successfully loaded	AS3007	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
SAMN17684471	These attribute values are not valid. An automatically-generated correction will be applied.	AS3007	biological replicate 3	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	Israel:Ofakim,SayeretShakedPark	3-Feb-2020	Soil metagenome sample from Israel:Ofakim,SayeretShakedPark LTER, from an inter-shrub space on the O1 homogeneous hillslope	soil metagenome	Soil	31.27 N 34.65 E	10 cm	187 m.a.s.l.	Semi-arid shrubland	Long-term ecological research station	250 mm (165 mm since 2010)	26 and 12C in the summer and winter, respectively	homogeneous	an inter-shrub space	O1
